#,prenoms,Aantal in België,Aantal in Vlaanderen,Aantal in Wallonië,Aantal in Brussel
14306,Eudoxia,18,12,2,4
14307,Hedi,18,13,3,2
14308,Hanka,18,13,0,4
14309,Ganime,18,13,0,4
14310,Fatmagül,18,13,3,2
14311,Eva-Luna,18,13,4,0
14312,Elvie,18,13,3,2
14313,Elicia,18,13,5,0
14314,Divya,18,13,3,2
14315,Dionne,18,13,3,2
14316,Babeth,18,13,4,0
14317,Hee,18,9,6,3
14318,Annisa,18,13,4,0
14319,Abide,18,13,5,0
14320,Ylena,18,14,4,0
14321,Wanida,18,14,0,3
14322,Tamarah,18,14,4,0
14323,Sladjana,18,14,4,0
14324,Sebile,18,14,0,3
14325,Rozane,18,14,3,0
14326,Armina,18,10,4,4
14327,Armenuhi,18,12,2,4
14328,Marieka,18,14,0,3
14329,Mahsa,18,14,0,3
14330,Amie,18,12,2,4
14331,Kenzy,18,14,3,0
14332,Adeviye,18,12,2,4
14333,Gynette,18,14,3,0
14334,Gea,18,14,2,2
14335,Elvi,18,14,2,2
14336,Vitalina,18,8,5,5
14337,Efsa,18,14,2,2
14338,Vic,18,10,7,0
14339,Chany,18,14,0,3
14340,Susi,18,10,7,0
14341,Shawnee,18,11,7,0
14342,Zosima,18,15,0,2
14343,Shkurta,18,15,3,0
14344,Senanur,18,15,0,2
14345,Norberte,18,10,7,0
14346,Rukije,18,9,4,5
14347,Neri,18,15,2,0
14348,Renuka,18,10,3,5
14349,Loveth,18,15,0,3
14350,Leoni,18,15,0,2
14351,Illiana,18,15,3,0
14352,Ilianne,18,15,2,0
14353,Linnea,18,8,7,3
14354,Munevver,18,6,7,5
14355,Jaëlle,18,8,7,3
14356,Hyun,18,7,7,4
14357,Zoey,18,16,0,0
14358,Güller,18,8,7,3
14359,Luciene,18,11,2,5
14360,Roumaissae,18,16,0,2
14361,Rhaïs,18,16,0,0
14362,Narda,18,16,2,0
14363,Kimia,18,11,2,5
14364,Meyra,18,16,0,0
14365,Mel,18,16,0,0
14366,Marie-Jozef,18,16,2,0
14367,Margarite,18,16,0,0
14368,Kajsa,18,12,0,5
14369,Lydiana,18,16,2,0
14370,Karis,18,16,0,2
14371,Kannika,18,16,0,2
14372,Hidajete,18,11,2,5
14373,Henderika,18,16,0,0
14374,Gwennie,18,16,0,0
14375,Gurpreet,18,16,0,0
14376,Garda,18,16,2,0
14377,Dian,18,16,0,2
14378,Chanty,18,16,0,0
14379,Bike,18,16,0,0
14380,Uliana,18,7,8,3
14381,Xandrine,18,17,0,0
14382,Theodolinda,18,17,0,0
14383,Margeurite,18,17,0,0
14384,Liske,18,17,0,0
14385,Kirstie,18,17,0,0
14386,Joena,18,17,0,0
14387,Jansje,18,17,0,0
14388,Harlinda,18,17,0,0
14389,Brynn,18,17,0,0
14390,Brigiet,18,17,0,0
14391,Annelotte,18,17,0,0
14392,Ann-Katrien,18,17,0,0
14393,Lifen,18,10,8,0
14394,Ulrieke,18,18,0,0
14395,Truike,18,18,0,0
14396,Thilly,18,18,0,0
14397,Sabrien,18,18,0,0
14398,Rozemie,18,18,0,0
14399,Verica,18,8,4,6
14400,Rietje,18,18,0,0
14401,Rane,18,18,0,0
14402,Purdy,18,18,0,0
14403,Mieken,18,18,0,0
14404,Maria-Josepha,18,18,0,0
14405,Malky,18,18,0,0
14406,Lisl,18,18,0,0
14407,Kobie,18,18,0,0
14408,Selvete,18,7,5,6
14409,Hindy,18,18,0,0
14410,Gerdy,18,18,0,0
14411,Femme,18,18,0,0
14412,Dimphina,18,18,0,0
14413,Dieke,18,18,0,0
14414,Corien,18,18,0,0
14415,Ragnhild,18,10,2,6
14416,Annet,18,18,0,0
14417,Alieke,18,18,0,0
14418,Oonagh,18,10,2,6
14419,Njomza,18,7,5,6
14420,Annonciata,18,5,8,5
14421,Neuza,18,8,4,6
14422,Nadjia,18,7,5,6
14423,Miu,18,11,0,6
14424,Swetlana,18,9,9,0
14425,Pascasie,18,5,9,4
14426,Kebira,18,10,2,6
14427,Kamalia,18,10,2,6
14428,Jelica,18,8,4,6
14429,Marieline,18,9,9,0
14430,Fazile,18,8,4,6
14431,Fabia,18,5,9,4
14432,Codruta,18,8,4,6
14433,Elysée,18,5,9,4
14434,Elmyre,18,8,9,0
14435,Delicia,18,4,9,5
14436,Atifa,18,7,5,6
14437,Alije,18,6,6,6
14438,Aili,18,9,3,6
14439,Afef,18,7,5,6
14440,Yole,18,8,10,0
14441,Xaviera,18,8,10,0
14442,Somaia,18,8,3,7
14443,Sahida,18,8,3,7
14444,Meva,18,5,10,3
14445,Ndaya,18,7,4,7
14446,Miryame,18,0,10,7
14447,Giovana,18,4,10,4
14448,Cathie,18,5,10,3
14449,Khadidiatou,18,6,5,7
14450,Jema,18,7,6,7
14451,Thémis,18,4,11,5
14452,Hanene,18,6,5,7
14453,Singrid,18,6,11,0
14454,Geanina,18,6,5,7
14455,Etelvina,18,5,6,7
14456,Dubravka,18,7,4,7
14457,Done,18,6,5,7
14458,Doinita,18,4,7,7
14459,Marie-Denise,18,4,11,3
14460,Louise-Anne,18,5,11,2
14461,Bach,18,6,5,7
14462,Ajse,18,9,2,7
14463,Claire-Anne,18,2,11,5
14464,Vandana,18,9,0,8
14465,Tuija,18,7,3,8
14466,Velia,18,3,12,3
14467,Rahmouch,18,5,5,8
14468,Princesse,18,7,3,8
14469,Ning,18,6,4,8
14470,Marie-Stéphanie,18,3,12,4
14471,Marie-Danielle,18,5,12,0
14472,Maire,18,9,0,8
14473,Ilinca,18,8,2,8
14474,Homa,18,9,0,8
14475,Zéa,18,4,13,0
14476,Aurela,18,9,2,8
14477,Margault,18,0,13,4
14478,Olaya,18,6,3,9
14479,Najette,18,5,4,9
14480,Eloïne,18,2,13,3
14481,Marjeta,18,4,5,9
14482,Chiarina,18,4,13,0
14483,Anasthasia,18,3,13,2
14484,Amélya,18,3,13,2
14485,Shanys,18,2,14,2
14486,Hadjer,18,0,8,9
14487,Maïwen,18,2,14,2
14488,Irénée,18,8,14,0
14489,Ambrine,18,2,7,9
14490,Ermeline,18,2,14,2
14491,Salamata,18,3,5,10
14492,Adelyne,18,2,14,2
14493,Khamisa,18,7,0,10
14494,Khadouja,18,6,2,10
14495,Loona,18,0,15,2
14496,Hassanatou,18,6,2,10
14497,Gianfranca,18,3,15,0
14498,Dorra,18,2,6,10
14499,Bienvenue,18,3,5,10
14500,Anne-Claude,18,0,15,3
14501,Abygaël,18,2,15,0
14502,Selek,18,7,0,11
14503,Malissia,18,0,16,0
14504,Madelyne,18,2,16,0
14505,Lauralyne,18,0,16,0
14506,Mio,18,7,0,11
14507,Mahera,18,4,3,11
14508,Huong,18,4,3,11
14509,Venerina,18,0,17,0
14510,Opaline,18,0,17,0
14511,Onofria,18,0,17,0
14512,Despoina,18,3,4,11
14513,Lexane,18,0,17,0
14514,Franceline,18,0,17,0
14515,Catterina,18,0,17,0
14516,Anyse,18,0,17,0
14517,Polyxeni,18,3,3,12
14518,Laurye,18,0,18,0
14519,Gulsum,18,3,3,12
14520,Douha,18,4,2,12
14521,Dafni,18,5,0,12
14522,Myles,18,10,4,4
14523,Tomi,18,9,5,4
14524,Toto,18,11,4,3
14525,Tommi,18,11,4,3
14526,Sinisa,18,9,5,4
14527,Mahsun,18,10,4,4
14528,Pedram,18,11,4,3
14529,Karani,18,11,3,4
14530,Jurij,18,11,3,4
14531,Bugra,18,11,4,3
14532,Woody,18,12,3,3
14533,Serafim,18,12,4,2
14534,Laith,18,12,3,3
14535,Erin,18,10,5,3
14536,Jakov,18,12,3,3
14537,Elmir,18,9,5,4
14538,Djani,18,10,5,3
14539,Falk,18,12,3,3
14540,Arkan,18,11,3,4
14541,Zaur,18,13,4,0
14542,Wily,18,13,5,0
14543,Ado,18,12,5,0
14544,Paskal,18,13,3,2
14545,Zhao,18,8,5,5
14546,Yuan,18,11,2,5
14547,Muhammer,18,13,5,0
14548,Zekeriye,18,7,6,5
14549,Lio,18,13,5,0
14550,Indiana,18,13,2,3
14551,Himmet,18,13,3,2
14552,Fleury,18,13,4,0
14553,Abdirahman,18,13,4,0
14554,Lennox,18,11,6,0
14555,Lazaro,18,8,6,4
14556,Mushtaq,18,10,3,5
14557,Hypolite,18,10,6,2
14558,Jakie,18,14,4,0
14559,Leart,18,10,3,5
14560,Goffrey,18,14,3,0
14561,Juvenal,18,12,5,5
14562,Brighton,18,14,4,0
14563,Jarkko,18,12,0,5
14564,Amarjit,18,14,2,2
14565,Jahir,18,9,4,5
14566,Akash,18,14,2,2
14567,Helge,18,12,0,5
14568,Taco,18,15,0,2
14569,Siarhei,18,15,0,2
14570,Micheal,18,15,0,2
14571,Yunis,18,9,7,2
14572,Kenley,18,15,0,2
14573,Heiki,18,15,0,3
14574,Divine,18,15,0,3
14575,Calix,18,15,3,0
14576,Bosco,18,7,6,5
14577,Mihajlo,18,9,7,2
14578,Rowin,18,16,0,0
14579,Quin,18,16,0,0
14580,Niky,18,16,0,0
14581,Akos,18,8,5,5
14582,Kasongo,18,9,7,2
14583,Zübeyir,18,10,2,6
14584,Kersten,18,16,0,0
14585,Jaky,18,11,7,0
14586,Kenzi,18,16,0,0
14587,Kaelan,18,16,0,0
14588,Johnnie,18,16,0,0
14589,Ikram,18,6,7,5
14590,Tarak,18,6,6,6
14591,Enki,18,7,7,4
14592,Astor,18,16,0,0
14593,Saeid,18,9,3,6
14594,War,18,17,0,0
14595,Conny,18,9,7,2
14596,Silvaan,18,17,0,0
14597,Ronin,18,17,0,0
14598,Onder,18,6,6,6
14599,Manno,18,17,0,0
14600,Lias,18,17,0,0
14601,Ireneus,18,17,0,0
14602,Falke,18,17,0,0
14603,Demi,18,17,0,0
14604,Chase,18,17,0,0
14605,Bouke,18,17,0,0
14606,Lokmane,18,9,3,6
14607,Aswin,18,17,0,0
14608,Lasha,18,10,2,6
14609,Zowie,18,18,0,0
14610,Zenn,18,18,0,0
14611,Ynse,18,18,0,0
14612,Yennick,18,18,0,0
14613,Yelte,18,18,0,0
14614,Wobbe,18,18,0,0
14615,Wart,18,18,0,0
14616,Kewin,18,7,5,6
14617,Tjeu,18,18,0,0
14618,Tiele,18,18,0,0
14619,Seraphinus,18,18,0,0
14620,Javid,18,11,0,6
14621,Indrit,18,10,2,6
14622,Ovidio,18,4,8,6
14623,Parcifal,18,18,0,0
14624,Misja,18,18,0,0
14625,Hazir,18,7,5,6
14626,Matiss,18,7,8,3
14627,Jenci,18,18,0,0
14628,Igmar,18,18,0,0
14629,Hennie,18,18,0,0
14630,Gislenus,18,18,0,0
14631,Gerbe,18,18,0,0
14632,Fonny,18,18,0,0
14633,Diederiek,18,18,0,0
14634,Clementinus,18,18,0,0
14635,Chevy,18,18,0,0
14636,Hilario,18,4,8,6
14637,Cosmo,18,6,6,6
14638,Bijan,18,7,5,6
14639,Amet,18,6,6,6
14640,Amadu,18,12,0,6
14641,Aftab,18,7,5,6
14642,Abdül,18,10,2,6
14643,Abdelaali,18,8,4,6
14644,Yussuf,18,9,2,7
14645,Tam,18,4,7,7
14646,Roddy,18,7,9,2
14647,Ridwane,18,8,3,7
14648,Phuoc,18,4,7,7
14649,Mussa,18,7,4,7
14650,Helmi,18,8,3,7
14651,Feridun,18,9,2,7
14652,Dragomir,18,10,0,7
14653,Tulio,18,6,10,2
14654,Timoteo,18,4,10,4
14655,Calum,18,10,0,7
14656,Behrouz,18,8,3,7
14657,Reimund,18,6,10,2
14658,Paraskevas,18,3,10,5
14659,Anatolie,18,9,2,7
14660,Abdoulah,18,7,4,7
14661,Wanis,18,3,7,8
14662,Tancrède,18,3,7,8
14663,Borys,18,4,10,4
14664,Perceval,18,2,8,8
14665,Marton,18,2,8,8
14666,Mahad,18,5,5,8
14667,Stiven,18,0,11,6
14668,Maryan,18,6,11,0
14669,Erard,18,7,3,8
14670,Davoud,18,9,0,8
14671,Arafa,18,7,3,8
14672,Brennan,18,7,11,0
14673,Brandy,18,5,11,2
14674,Ahmadou,18,7,3,8
14675,Vinod,18,9,0,9
14676,Phi,18,4,5,9
14677,Nuhi,18,7,2,9
14678,Nourddin,18,8,0,9
14679,Lori,18,3,12,3
14680,Jhonathan,18,5,12,0
14681,Guiliano,18,4,12,2
14682,Eraldo,18,2,12,4
14683,Delio,18,3,12,3
14684,Dayron,18,5,12,0
14685,Gjergj,18,5,4,9
14686,Dionysios,18,8,0,9
14687,Avram,18,8,0,9
14688,Alae-Eddine,18,9,0,9
14689,Abdessadek,18,7,2,9
14690,Abdel-Karim,18,2,7,9
14691,Merwan,18,3,13,2
14692,Macéo,18,5,13,6
14693,Gionatan,18,2,13,3
14694,Mouaad,18,5,3,10
14695,Djillali,18,2,13,3
14696,Maroun,18,4,4,10
14697,Anthoni,18,3,13,2
14698,Isac,18,5,3,10
14699,Steevy,18,2,14,2
14700,Pierrino,18,3,14,0
14701,Erkin,18,6,2,10
14702,Maximillien,18,4,14,0
14703,Belkheir,18,4,4,10
14704,Erasmo,18,3,14,0
14705,Angy,18,2,14,2
14706,Vassily,18,2,15,0
14707,Thiebaut,18,3,15,0
14708,Adelio,18,2,15,0
14709,Warrick,18,2,16,0
14710,Vincenzino,18,0,16,0
14711,Lenzo,18,2,16,0
14712,Jeyson,18,2,16,0
14713,Hermann-Joseph,18,2,16,0
14714,Romin,18,0,17,0
14715,Mallaury,18,0,17,0
14716,Duilio,18,0,17,0
14717,Xhavier,18,0,18,0
14718,Nathéo,18,0,18,0
14719,Jukka,18,5,0,13
14720,Josuha,18,0,18,0
14721,Hiroki,18,5,0,13
14722,Gabi,18,4,0,13
14723,Even,18,0,18,0
14724,Yurdagul,17,10,5,2
14725,Xiu,17,10,5,2
14726,Gitana,17,10,4,3
14727,Eliona,17,10,4,3
14728,Sejla,17,10,5,2
14729,Radima,17,10,5,2
14730,Nurgul,17,9,5,3
14731,Nevrije,17,11,4,2
14732,Nayeli,17,11,4,2
14733,Kavita,17,11,4,2
14734,Lydwina,17,10,5,2
14735,Katalina,17,11,4,2
14736,Tenzile,17,9,4,4
14737,Laurentina,17,10,5,2
14738,Hatidza,17,11,4,2
14739,Haiyan,17,11,3,3
14740,Kseniya,17,11,5,0
14741,Sherife,17,9,4,4
14742,Claudy,17,11,4,2
14743,Chara,17,11,4,2
14744,Halida,17,10,5,2
14745,Akasya,17,11,4,2
14746,Adea,17,11,3,3
14747,Ünzile,17,12,3,2
14748,Penda,17,8,5,4
14749,Nülüfer,17,8,5,4
14750,Dünya,17,10,5,2
14751,Niloufar,17,10,3,4
14752,Nicette,17,10,3,4
14753,Sama,17,12,0,4
14754,Rozerin,17,12,2,3
14755,Morag,17,12,3,2
14756,Azemine,17,10,5,2
14757,Kimeta,17,12,2,3
14758,Kana,17,12,2,3
14759,Jacobine,17,12,5,0
14760,Alica,17,11,5,0
14761,Fereshteh,17,12,3,2
14762,Libuse,17,10,3,4
14763,Denia,17,12,3,2
14764,Kyria,17,9,4,4
14765,Coralia,17,12,4,0
14766,Kanjana,17,11,2,4
14767,Shanshan,17,9,6,2
14768,Savita,17,7,6,4
14769,Agnella,17,12,3,2
14770,Janeth,17,12,0,4
14771,Vjosa,17,13,2,2
14772,Trude,17,13,0,3
14773,Thecla,17,13,5,2
14774,Shui,17,13,0,3
14775,Nagat,17,7,6,4
14776,Güzide,17,12,0,4
14777,Nga,17,13,2,2
14778,Netty,17,13,3,0
14779,Melihat,17,8,6,3
14780,Miralda,17,13,4,0
14781,Meron,17,13,4,0
14782,Galyna,17,10,3,4
14783,Feng,17,11,2,4
14784,Kanya,17,13,4,0
14785,Kalpana,17,13,0,3
14786,Iolana,17,13,4,0
14787,Illeana,17,13,4,0
14788,Gökkiz,17,13,0,4
14789,Goldie,17,13,2,2
14790,Kacey,17,11,6,0
14791,Jolan,17,9,6,2
14792,Jenniffer,17,8,6,3
14793,Elienne,17,13,3,0
14794,Caprice,17,13,3,0
14795,Daiana,17,10,3,4
14796,Hajnalka,17,7,6,4
14797,Fadimana,17,11,6,0
14798,Fabricia,17,10,6,0
14799,Esthère,17,9,6,2
14800,Erja,17,7,6,4
14801,Beyda,17,12,0,4
14802,Serra,17,14,0,2
14803,Bineta,17,7,6,4
14804,Anahid,17,10,3,4
14805,Kanchana,17,14,0,2
14806,Anastassiya,17,11,6,0
14807,Isana,17,14,3,0
14808,Favour,17,14,0,2
14809,Dorian,17,14,2,0
14810,Taziana,17,10,7,0
14811,Cathalina,17,14,3,0
14812,Steluta,17,6,7,4
14813,Beauty,17,14,2,0
14814,Smita,17,10,2,5
14815,Aditi,17,14,2,0
14816,Aaya,17,14,0,3
14817,Rory,17,9,7,0
14818,Vigdis,17,15,2,0
14819,Shama,17,9,3,5
14820,Syra,17,15,0,0
14821,Sui,17,15,0,2
14822,Shenna,17,15,0,0
14823,Sarika,17,15,2,0
14824,Sangita,17,15,2,0
14825,Reni,17,15,0,0
14826,Pricilla,17,5,7,5
14827,Lamberte,17,15,2,0
14828,Karianne,17,15,0,2
14829,Jolinde,17,15,0,0
14830,Jannah,17,15,2,0
14831,Jamy,17,15,2,0
14832,Jacobina,17,15,0,0
14833,Natela,17,10,2,5
14834,Nang,17,7,5,5
14835,Gülsan,17,15,0,2
14836,Gerritdina,17,15,2,0
14837,Etty,17,15,2,0
14838,Mevlide,17,7,5,5
14839,Blue,17,15,0,0
14840,Jeanie,17,9,7,0
14841,Zippora,17,16,0,0
14842,Xiana,17,16,0,0
14843,Tirsa,17,16,0,0
14844,Tinie,17,16,0,0
14845,Maka,17,9,3,5
14846,Sieska,17,16,0,0
14847,Fikrije,17,7,7,3
14848,Nickie,17,16,0,0
14849,Latefa,17,9,3,5
14850,Margreta,17,16,0,0
14851,Kanako,17,7,5,5
14852,Kaija,17,10,2,5
14853,Lokke,17,16,0,0
14854,Carmencita,17,8,7,2
14855,Kleo,17,16,0,0
14856,Kissy,17,16,0,0
14857,Kathrien,17,16,0,0
14858,Jewel,17,16,0,0
14859,Houssnia,17,12,0,5
14860,Jera,17,16,0,0
14861,Jelissa,17,16,0,0
14862,Aubrey,17,8,7,2
14863,Jannigje,17,16,0,0
14864,Henna,17,11,0,5
14865,Illiane,17,16,0,0
14866,Ankica,17,10,7,0
14867,Gonny,17,16,0,0
14868,Gilaine,17,16,0,0
14869,Fauke,17,16,0,0
14870,Fabiane,17,16,0,0
14871,Emmerentia,17,16,0,0
14872,Aise,17,6,7,4
14873,Charona,17,16,0,0
14874,Caitlynn,17,16,0,0
14875,Farije,17,9,3,5
14876,Ayala,17,16,0,0
14877,Antonette,17,16,0,0
14878,Tuline,17,6,8,3
14879,Tizziana,17,6,8,3
14880,Ynte,17,17,0,0
14881,Elba,17,9,3,5
14882,Veronick,17,17,0,0
14883,Sharyn,17,17,0,0
14884,Diyana,17,8,4,5
14885,Ruhne,17,17,0,0
14886,Rezy,17,17,0,0
14887,Crina,17,7,5,5
14888,Neleke,17,17,0,0
14889,Nausika,17,17,0,0
14890,Nakita,17,17,0,0
14891,Marlinda,17,17,0,0
14892,Loore,17,17,0,0
14893,Lienne,17,17,0,0
14894,Lienke,17,17,0,0
14895,Kjelle,17,17,0,0
14896,Kerenza,17,17,0,0
14897,Jilske,17,17,0,0
14898,Jantina,17,17,0,0
14899,Ini,17,17,0,0
14900,Hannelien,17,17,0,0
14901,Haaike,17,17,0,0
14902,Gwendolin,17,17,0,0
14903,Marry,17,6,8,3
14904,Gitti,17,17,0,0
14905,Ella-Louise,17,17,0,0
14906,Mariagrazia,17,6,8,3
14907,Dymfna,17,17,0,0
14908,Donja,17,17,0,0
14909,Anastasija,17,9,3,5
14910,Charelle,17,17,0,0
14911,Ali,17,9,3,5
14912,Annemieken,17,17,0,0
14913,Adelinde,17,17,0,0
14914,Yuanyuan,17,9,2,6
14915,Thai,17,6,5,6
14916,Syuzanna,17,9,2,6
14917,Gaëtanne,17,5,8,4
14918,Silvan,17,10,0,6
14919,Sharifa,17,9,2,6
14920,Essi,17,4,8,5
14921,Romualda,17,7,4,6
14922,Racheda,17,10,0,6
14923,Nadera,17,5,6,6
14924,Macarena,17,6,5,6
14925,Shawna,17,7,9,0
14926,Liliose,17,7,4,6
14927,Neele,17,6,9,2
14928,Naïké,17,6,9,3
14929,Humaira,17,10,0,6
14930,Hajira,17,9,2,6
14931,Hadil,17,8,3,6
14932,Gesa,17,5,6,6
14933,Gudule,17,5,9,3
14934,Eftichia,17,3,8,6
14935,Cyndy,17,8,9,0
14936,Cordélia,17,6,9,6
14937,Anna-Lena,17,6,9,2
14938,Aman,17,9,2,6
14939,Yasma,17,8,2,7
14940,Sahara,17,5,5,7
14941,Mattea,17,6,10,0
14942,Marie-Sylvie,17,4,10,3
14943,Marie-Justine,17,7,10,0
14944,Mariannick,17,2,10,5
14945,Mallika,17,5,10,2
14946,Omnia,17,7,3,7
14947,Nataliia,17,8,2,7
14948,Naheed,17,8,2,7
14949,Flaviana,17,4,10,3
14950,Mane,17,9,0,7
14951,Brigide,17,7,10,0
14952,Jonida,17,8,2,7
14953,Ichrak,17,7,3,7
14954,Silviana,17,5,11,0
14955,Gülfer,17,7,3,7
14956,Fouziya,17,5,5,7
14957,Dorottya,17,9,0,7
14958,Delvina,17,8,2,7
14959,Damia,17,5,5,7
14960,Chrissi,17,6,4,7
14961,Ausra,17,8,2,7
14962,Elaura,17,6,11,0
14963,Anne-Dominique,17,3,11,3
14964,Anandi,17,6,11,0
14965,Sinead,17,8,2,8
14966,Saoussen,17,7,2,8
14967,Samiye,17,6,3,8
14968,Ruta,17,8,0,8
14969,Shanel,17,5,12,0
14970,Pegah,17,7,2,8
14971,Nerina,17,4,12,0
14972,Mona-Lisa,17,4,12,0
14973,Marie-Amandine,17,0,12,4
14974,Kobra,17,8,0,8
14975,Giustina,17,0,12,4
14976,Catina,17,2,12,3
14977,Esranur,17,7,2,8
14978,Asmahane,17,7,2,8
14979,Aristea,17,5,4,8
14980,Yoshiko,17,7,0,9
14981,Thalie,17,6,2,9
14982,Suvi,17,8,0,9
14983,Maëlia,17,2,13,3
14984,Riitta,17,4,4,9
14985,Radya,17,4,4,9
14986,Narimane,17,4,4,9
14987,Fyona,17,4,13,0
14988,Enrichetta,17,3,13,0
14989,Cassiopée,17,3,13,0
14990,Anne-Bénédicte,17,0,13,4
14991,Zouina,17,0,14,2
14992,Jannat,17,7,0,9
14993,Shyrel,17,0,14,2
14994,Immaculada,17,3,5,9
14995,Ileyda,17,6,2,9
14996,Rose-Line,17,0,14,2
14997,Haby,17,6,2,9
14998,Onorina,17,0,14,2
14999,Marilyse,17,2,14,0
15000,Marie-Aurélie,17,0,14,2
15001,Maëlla,17,2,14,0
15002,Celsa,17,4,4,9
15003,Leina,17,0,14,2
15004,Laurana,17,2,14,0
15005,Kathalyn,17,3,14,0
15006,José-Anne,17,2,14,0
15007,Ane,17,6,2,9
15008,Florane,17,0,14,2
15009,Talin,17,3,4,10
15010,Rawane,17,6,0,10
15011,Nasra,17,5,2,10
15012,Syndie,17,2,15,0
15013,Lucica,17,3,4,10
15014,Marie-Sarah,17,0,15,2
15015,Madleen,17,2,15,0
15016,Florise,17,0,15,0
15017,Attilia,17,2,15,0
15018,Andrada,17,4,3,10
15019,Maria-Assunta,17,0,16,0
15020,Mélodye,17,0,16,2
15021,Louann,17,0,16,0
15022,Rhita,17,2,4,11
15023,Maïssam,17,5,0,11
15024,Ganimet,17,4,2,11
15025,Farhana,17,3,3,11
15026,Madissone,17,0,17,0
15027,Loryne,17,0,17,0
15028,Päivi,17,4,0,12
15029,Mamadou,17,3,2,12
15030,Hitomi,17,4,0,12
15031,Jimena,17,3,0,13
15032,Fettoum,17,3,0,14
15033,Wadie,17,9,4,4
15034,Binak,17,10,4,3
15035,Mihael,17,10,3,4
15036,Tamir,17,11,2,4
15037,Recai,17,11,3,3
15038,Paramjit,17,11,3,3
15039,Ramo,17,8,5,4
15040,Lincoln,17,11,2,4
15041,Nijaz,17,11,5,0
15042,Nasri,17,10,5,2
15043,Movses,17,10,5,2
15044,Hamad,17,9,4,4
15045,Sinasi,17,12,2,3
15046,Shan,17,12,4,0
15047,Rajinder,17,12,3,2
15048,Godfroid,17,10,5,2
15049,Najih,17,12,0,4
15050,Maykel,17,12,2,3
15051,Mariyan,17,12,0,4
15052,Louis-Victor,17,12,2,3
15053,Finlay,17,9,5,3
15054,Janic,17,12,5,0
15055,Elmi,17,8,5,4
15056,Garcia,17,12,2,3
15057,Ermir,17,12,2,3
15058,Darrell,17,10,5,2
15059,Devris,17,12,3,2
15060,Cosmas,17,12,0,4
15061,Cihangir,17,9,5,3
15062,Claudius,17,12,3,2
15063,Anvar,17,12,3,2
15064,Adolph,17,12,3,2
15065,Sukhwinder,17,13,2,2
15066,Abdussamed,17,9,5,3
15067,Nike,17,13,0,4
15068,Yon,17,9,3,5
15069,Maksut,17,13,2,2
15070,Waqar,17,10,2,5
15071,Vikas,17,11,0,5
15072,Junes,17,13,0,4
15073,Joussef,17,13,0,3
15074,Jamin,17,13,3,0
15075,Suayip,17,9,6,2
15076,Ginot,17,13,4,0
15077,Safi,17,8,6,3
15078,Sidiki,17,7,5,5
15079,Derick,17,13,0,4
15080,Sanjeev,17,9,3,5
15081,Cid,17,13,2,2
15082,Badri,17,13,2,2
15083,Anel,17,13,3,0
15084,Amrit,17,13,0,3
15085,Nafis,17,8,6,3
15086,Qamil,17,7,5,5
15087,Payam,17,10,2,5
15088,Yin,17,14,0,2
15089,Marik,17,11,6,0
15090,Olgun,17,10,2,5
15091,Sion,17,14,0,2
15092,Mykhaylo,17,10,2,5
15093,Phoenix,17,14,2,0
15094,Ludie,17,14,3,0
15095,Jamshid,17,14,0,3
15096,Ignaz,17,14,2,0
15097,Lavdim,17,11,0,5
15098,Güray,17,14,0,3
15099,Gernot,17,8,6,3
15100,Ganesh,17,14,0,3
15101,Khamis,17,11,0,5
15102,Ehab,17,14,2,0
15103,Eddi,17,14,2,0
15104,Diony,17,14,3,0
15105,Dandy,17,14,2,0
15106,Bjørn,17,14,0,3
15107,Binod,17,14,0,3
15108,Avigdor,17,14,0,3
15109,Yander,17,15,0,2
15110,Binali,17,9,6,2
15111,Wendel,17,15,0,0
15112,Thorwald,17,15,0,2
15113,Siggi,17,15,0,0
15114,Alaaddin,17,11,6,0
15115,Mertcan,17,15,2,0
15116,Yung,17,8,7,2
15117,Kwai,17,15,2,0
15118,Vitto,17,10,7,0
15119,Jurjen,17,15,0,2
15120,Jascha,17,15,0,0
15121,Haroen,17,15,0,2
15122,Dzevat,17,10,2,5
15123,Gershon,17,15,0,2
15124,Geordi,17,15,0,0
15125,Dinu,17,6,6,5
15126,Dawit,17,12,0,5
15127,Cagatay,17,9,3,5
15128,Zev,17,16,0,0
15129,Bardhyl,17,9,3,5
15130,Atmane,17,9,3,5
15131,Ton,17,16,4,0
15132,Lothaire,17,9,7,0
15133,Merten,17,16,0,0
15134,Lewie,17,16,0,0
15135,Itzhak,17,16,0,0
15136,Ibn,17,16,0,0
15137,Yasen,17,10,0,6
15138,Godefried,17,16,0,0
15139,Geordy,17,16,0,0
15140,Boud,17,16,0,0
15141,Asther,17,16,0,0
15142,Simplice,17,4,7,6
15143,Zenne,17,17,0,0
15144,Yme,17,17,0,0
15145,Yf,17,17,0,0
15146,Xiebe,17,17,0,0
15147,Tjen,17,17,0,0
15148,Sky,17,17,0,0
15149,Selle,17,17,0,0
15150,Rinse,17,17,0,0
15151,Renco,17,17,0,0
15152,Quirijn,17,17,0,0
15153,Quillan,17,17,0,0
15154,Bartholomé,17,7,7,3
15155,Nielsen,17,17,0,0
15156,Nelles,17,17,0,0
15157,Nander,17,17,0,0
15158,Matties,17,17,0,0
15159,Mante,17,17,0,0
15160,Laurentz,17,17,0,0
15161,Jerre,17,17,0,0
15162,Noman,17,7,4,6
